Liednummer(neu)	Liednummer(alt)	Titel
387	n.v.	Gott ist gegenwärtig
835,2	n.v.	Gott lädt uns ein (Kv)
464	297	Gott liebt diese Welt
399	n.v.	Gott loben in der Stille
n.v.	211	Gott redet, und Quellen springen auf
477	640	Gott ruft sein Volk zusammen
n.v.	613	Gott sei durch euch gepriesen
215	494	Gott sei gelobet und gebenedeiet
823	795	Gott soll gepriesen werden
340	232,5	Gott steigt empor, VI (Kv)
n.v.	85,2	Gott tilge mein Vergehen, denn du bist reich an Erbarmen
429	290	Gott wohnt in einem Lichte
539	605	Gott, aller Schöpfung heiliger Herr
n.v.	733,1	Gott, bleib nicht fern von mir
815	n.v.	Gott, den Allherrscher
499	74	Gott, der nach seinem Bilde (geändert)
829,2	n.v.	Gott, du bist gut (Kv, geändert)
616,1	n.v.	Gott, du mein Gott, dich suche ich, IV (Kv)
230	116	Gott, heil'ger Schöpfer aller Stern
n.v.	308	Gott, mein Gott, warum hast du mich verlassen
n.v.	529,3	Gott, sei uns gnädig
n.v.	172,3	Gott, tilge mein Vergehn
n.v.	119,4	Gott, unser Herr, spendet seinen Segen
859,6	n.v.	Gott, unser Vater, höre uns (4-stg.)
862	n.v.	Gott, wir bitten dich, sorg du für uns (Kanon)
506	n.v.	Gott, wir vertrauen dir diesen Menschen an
758	161	Gottes Lamm, Herr Jesu Christ
259	n.v.	Gottes Stern leuchte uns
450	n.v.	Gottes Wort ist wie Licht in der Nacht
497	546	Gottheit tief verborgen
n.v.	626,1	Groß und gewaltig ist der Herr
n.v.	757,1	Groß und gewaltig ist der Herr
913	889	Großer Godhard
380	257	Großer Gott, wir loben dich
n.v.	586	Gruß dir, Mutter, in Gottes Herrlichkeit
n.v.	760,1	Gut ist's, dem Herrn zu danken
878	n.v.	Guter Gott, wir danken dir
622,1	n.v.	Habt Mut, ihr Verzagten, VIII (Kv)
n.v.	355,4	Halleluja
n.v.	488	Halleluja
n.v.	509	Halleluja
n.v.	536,4	Halleluja
n.v.	724,1	Halleluja
n.v.	748,1	Halleluja
n.v.	530,2	Halleluja (2.Ton)
n.v.	530,3	Halleluja (2.Ton)
n.v.	531,7	Halleluja (2.Ton)
n.v.	532,3	Halleluja (2.Ton)
n.v.	532,7	Halleluja (2.Ton)
n.v.	530,4	Halleluja (4.Ton)
n.v.	530,5	Halleluja (4.Ton)
n.v.	532,1	Halleluja (4.Ton)
n.v.	532,4	Halleluja (4.Ton)
174,2	n.v.	Halleluja (4-stg., Ostkirchlich)
n.v.	531,8	Halleluja (5. Ton)
n.v.	466	Halleluja (5.Ton)
n.v.	532,5	Halleluja (5.Ton)
n.v.	500	Halleluja (6.Ton)
n.v.	531,1	Halleluja (6.Ton)
n.v.	532,2	Halleluja (8.Ton)
n.v.	532,6	Halleluja (8.Ton)
175,1	n.v.	Halleluja (Bozen/Brixen)
175,3	n.v.	Halleluja (Kronberg)
244	n.v.	Halleluja (Kv, weihnachtlich)
483	n.v.	Halleluja (Lafferty) (gekürzt)
174,6	n.v.	Halleluja (Lesbordes)
175,6	n.v.	Halleluja (O'Carroll)
n.v.	209,5	Halleluja (Osternacht 2)
174,3	530,1	Halleluja (Rohr)
176,1	n.v.	Halleluja (Rottenburg)
n.v.	48,2	Halleluja (VIa)
174,4	n.v.	Halleluja (weihnachtlich)
544	n.v.	Halleluja (weihnachtlich)
778	833	Halleluja lasst uns singen (Preis dem Todesüberwinder - geändert)
174,3	488	Halleluja, I (Rohr)
322	221	Halleluja, ihr Christen singet hocherfreut
584,8	531,6	Halleluja, IX (Kv, gregorianisch)
643,1	531,6	Halleluja, IX (Kv, gregorianisch)
835,1	n.v.	Halleluja, V (Kv, Schmoll)
630,1	466	Halleluja, V (Kv, Seuffert) (verändert)
630,1	530,6	Halleluja, V (Kv, Seuffert) (verändert)
174,5	355,4	Halleluja, V (Seuffert)
174,5	466	Halleluja, V (Seuffert)
174,5	530,6	Halleluja, V (Seuffert)
643,5	530,7	Halleluja, VI (Kv, gregorianisch)
174,7	531,2	Halleluja, VI (Rohr)
174,8	478	Halleluja, VI (Zihlmann)
174,8	530,8	Halleluja, VI,V (Ziehlmann)
175,5	531,3	Halleluja, VII (gregorianisch)
175,4	531,4	Halleluja, VII (Rohr)
176,2	531,5	Halleluja, VIII (gregorianisch)
787	n.v.	Halleluja, VIII (Kv, Gabriel)
312,9	209,4	Halleluja, VIII (Kv, Osternacht)
702	n.v.	Halte zu mir, guter Gott
n.v.	728,1	Hängt euer Herz nicht an Reichtum
n.v.	118,1	Hebet Tore, eure Häupter
633,3	119,1	Hebt euch, Ihr Tore, VII (Kv, geändert)
633,3	122,1	Hebt euch, Ihr Tore, VII (Kv, geändert)
n.v.	566	Hebt euer Haupt ihr Tore all
917	n.v.	Heil'ger Ansgar
919	888	Heil'ger Bernward
785	n.v.	Heil'ger Geist, o Tröster mein
909	n.v.	Heil'ger Josef
759	823	Heil'ges Kreuz, sei hochverehret
127	427	Heilig (Alban)
195	n.v.	Heilig (Alstott)
191	n.v.	Heilig (Florenz, Kanon)
135	431	Heilig (Florian)
192	n.v.	Heilig (Gabriel, Kanon)
138	434	Heilig (Leopold)
129	441	Heilig (Mainzer Dommesse)
197	n.v.	Heilig (Offele)
132	438	Heilig (Paulus)
190	n.v.	Heilig (Proulx)
193	481	Heilig (Quack)
194	459	Heilig (Rohr)
388	n.v.	Heilig (Schubert)
200	n.v.	Heilig (Sperling)
196	491	Heilig (Steinau)
198	n.v.	Heilig bist du, großer Gott
199	469	Heilig ist Gott in Herrlichkeit
n.v.	510	Heilig, heilig
n.v.	445	Heilig, heilig (Allerheiligen-Messe)
n.v.	501	Heilig, heilig (Rohr)
718	801	Heilig, heilig, dreimal heilig
n.v.	497	Heilig, heilig, heilig Gott
n.v.	867	Heilig, heilig, heilig, unaussprechlich
720	802	Heilig, heilig, sei gepriesen
308,5	206	Heiliger Gott, IV / O du mein Volk, was tat ich dir (Kv, gekürzt)
300	n.v.	Heiliger Herre Gott (3-stg., ostkirchlich)
565	n.v.	Heilig-Geist-Litanei
734	815	Heiligste Nacht
660	n.v.	Heiteres Licht (Hymnus, 1-3-stg.)
802	817	Herr der Könige
n.v.	189	Herr Jesu Christ, dich zu uns wend
147	516	Herr Jesu Christ, dich zu uns wend'
582,6	353,6	Herr Jesus Christus, du bist vom Vater gesandt (Kyrie)
797	n.v.	Herr Jesus Christus, du gingst heim zum Vater
n.v.	511	Herr Jesus! Du bist das Lamm
176,3	n.v.	Herr Jesus, dir sei Ruhm und Ehre
n.v.	518	Herr Jesus, König ewiglich
n.v.	517	Herr Jesus, öffne unsern Mund
665,1	n.v.	Herr, auf dich vertraue ich
89	18,8	Herr, bleibe bei uns (Kanon)
92	18,8	Herr, bleibe bei uns, halleluja (4-stg., geändert)
n.v.	716,1	Herr, bleibe mir nicht fern
427	289	Herr, deine Güt' ist unbegrenzt
n.v.	301	Herr, deine Güte reicht, so weit der Himmel ist
n.v.	717,1	Herr, deine Treue will ich künden
n.v.	725,1	Herr, deine Treue will ich künden in der Gemeinde
n.v.	529,7	Herr, deine Werke danken dir
466	n.v.	Herr, dich loben die Geschöpfe
428	292	Herr, dir ist nichts verborgen
703	n.v.	Herr, du bist die Hoffnung
431	n.v.	Herr, du bist ein Schild für mich, IV (Kv)
52,1	738,1	Herr, du bist König über alle Welt, VIII (Kv)
456	n.v.	Herr, du bist mein Leben
312,7	355,2	Herr, du hast Worte ewigen Lebens, II/IV (Kv)
312,7	465	Herr, du hast Worte ewigen Lebens, II/IV (Kv)
312,7	714,1	Herr, du hast Worte ewigen Lebens, II/IV (Kv)
312,7	750,1	Herr, du hast Worte ewigen Lebens, II/IV (Kv)
584,4	355,2	Herr, du hast Worte ewigen Lebens. II/IV (Kv)
584,4	465	Herr, du hast Worte ewigen Lebens. II/IV (Kv)
584,4	714,1	Herr, du hast Worte ewigen Lebens. II/IV (Kv)
584,4	750,1	Herr, du hast Worte ewigen Lebens. II/IV (Kv)
n.v.	755,1	Herr, du kennst mein Herz
n.v.	536,1	Herr, du rufst uns zu deinem Mahl
n.v.	172,4	Herr, du stehst uns bei in aller Not
n.v.	527,6	Herr, du zogst mich empor
n.v.	451	Herr, erbarme dich
n.v.	452	Herr, erbarme dich
n.v.	453	Herr, erbarme dich
157	n.v.	Herr, erbarme dich (4-stg., Janssens)
126	425	Herr, erbarme dich (Alban)
n.v.	443	Herr, erbarme dich (Allerheiligen-Messe)
152	475	Herr, erbarme dich (Bisegger)
128	440	Herr, erbarme dich (Mainzer Dommesse)
130	436	Herr, erbarme dich (Paulus)
153	463	Herr, erbarme dich (Rohr)
n.v.	792	Herr, erbarme dich unser
134	429	Herr, erbarme dich unser (Florian)
137	433	Herr, erbarme dich unser (Leopold)
151	454	Herr, erbarme dich unser (Quack)
229	526,5	Herr, erhebe dich, I (Kv)
859,8	n.v.	Herr, erhöre uns
n.v.	646,4	Herr, führ uns zusammen, dass wir eins sind in dir
923	893	Herr, gib Frieden dieser Seele (verändert)
n.v.	529,4	Herr, gib uns Frieden, schenk uns dein Heil
448	521	Herr, gib uns Mut zum Hören (erweitert)
448	n.v.	Herr, gib uns Mut zum Hören (geändert)
n.v.	458	Herr, Gott im Himmel, dir sei Ehr
n.v.	172,2	Herr, hilf uns vor dem Bösen
n.v.	739,1	Herr, hilf uns vor dem Bösen
435	n.v.	Herr, ich bin dein Eigentum
508	n.v.	Herr, lehre uns, dass wir sterben müssen
868	n.v.	Herr, mach' mich zum Werkzeug deines Friedens (geändert)
552	n.v.	Herr, mach' uns stark im Mut
98	n.v.	Herr, mein Beten steige zu dir auf / Mein Beten steige (2-stg., geändert)
363	n.v.	Herr, nimm auch uns zum Tabor mit
614,1	683	Herr, öffne meine Lippen
n.v.	612	Herr, sei gelobt durch deinen Knecht
222	112	Herr, send herab uns deinen Sohn (verändert)
222	n.v.	Herr, send herab uns deinen Sohn / Herr, sende, den du senden willst (geändert)
617,4	n.v.	Herr, sende uns deinen Geist
640,1	193	Herr, unser Gott, bekehre uns
414	298	Herr, unser Herr, wie bist du zugegen
33,1	710,1	Herr, unser Herrscher, VII (Kv)
34,1	626,3	Herr, wer darf Gast sein in deinem Zelt, VI, (Kv, geändert)
184	534	Herr, wir bringen in Brot und Wein
449	n.v.	Herr, wir hören auf dein Wort
n.v.	526,4	Herr, wir rufen zu dir: Gib Frieden der Welt
371	n.v.	Herz Jesu, Gottes Opferbrand
564	768	Herz-Jesu-Litanei
290	180	Herzliebster Jesu
n.v.	835	Heut ist gefahren Gottes Sohn
635,4	149,3	Heute erstrahlt ein Licht über uns, V (Kv)
635,3	149,2	Heute ist uns der Heiland geboren, V (Kv)
440	622	Hilf, Herr meines Lebens
n.v.	761,1	Himmel und Erde, lobet den Herrn
n.v.	705	Hinunter ist der Sonne Schein
384	n.v.	Hoch sei gepriesen unser Gott
n.v.	874	Hochpreiset meine Seele
291	n.v.	Holz auf Jesu Schulter
749	818	Hör' uns, Schöpfer
53,1	529,5	Hört auf die Stimme des Herrn, VI (Kv, geändert)
288	n.v.	Hört das Lied der finstern Nacht
621	n.v.	Hört, eine helle Stimme ruft (Advent)
859,4	n.v.	Hört, eine Stimme ruft (Kanon)
240	139	Hört, es singt und klingt
279	199	Hosanna dem Sohne Davids (Kyrie)
302,2	196	Hosanna dem Sohne Davids, VII (Kv)
302,3	198,1	Hosanna in der Höhe, VI (Kv, geändert)
n.v.	287,2	Hungrige überhäuft er mit Gutem
41,1	n.v.	Ich bin arm und gebeugt, IV (Kv)
652,2	n.v.	Ich bin das Licht der Welt, VII (Kv)
n.v.	86	Ich bin die Auferstehung und das Leben
491	635	Ich bin getauft und Gott geweiht
629,3	528,3	Ich gehe meinen Weg vor Gott, VI (Kv)
795	n.v.	Ich glaub' an dich, allmächt'ger Gott
793	797	Ich glaube an den einen Gott
792	n.v.	Ich glaube an den Vater
177,2	n.v.	Ich glaube an Gott (Gouzes)
179	447	Ich glaube an Gott (Schmid)
310,2	n.v.	Ich lege mich nieder und ruhe in Frieden, IV (Kv)
99	n.v.	Ich liege, Herr, in deiner Hut
400	n.v.	Ich lobe meinen Gott von ganzem Herzen
383	n.v.	Ich lobe meinen Gott, der aus der Tiefe mich holt, damit ich lebe
852,2	171,1	Ich ruf' dich an, Herr Gott, VIII/III (Kv)
852,2	697,1	Ich ruf' dich an, Herr Gott, VIII/III (Kv)
657,7	n.v.	Ich sagte: In der Mitte meiner Tage, I - Jes 38
75,1	n.v.	Ich schreie zu dir, o Herr, III (Kv)
624,3	n.v.	Ich singe dem Herrn ein Lied, VIII (Ex 15)
256	n.v.	Ich steh' an deiner Krippe hier
256	141	Ich steh' an deiner Krippe hier (geändert)
422	621	Ich steh' vor dir mit leeren Händen, Herr
n.v.	734,1	Ich suche dich Gott
651,3	n.v.	Ich suchte den Herrn, IV (Kv)
501	746,2	Ich weiß, dass mein Erlöser lebt, VII (Kv, geändert)
n.v.	847	Ich will aus ganzem Herzen mein'
358	558	Ich will dich lieben
433,1	n.v.	Ich will dir danken (Kanon)
n.v.	278	Ich will dir danken, Herr, unter den Völkern
339	229	Ihr Christen, hoch erfreuet euch
542	608	Ihr Freunde Gottes allzugleich
908	n.v.	Ihr Freunde Gottes allzugleich (Heilige der Metropolie)
234,1	120,3	Ihr Himmel, tauet den Gerechten, I (Kv)
248	n.v.	Ihr Kinderlein kommet (verändert)
654,1	651	Ihr seid der Tempel Gottes
n.v.	646,2	Ihr seid ein heiliges Volk
636,2	n.v.	Im Anfang war das Wort (Joh.1)
755	n.v.	Im Dunkel uns'rer Ängste
216	473	Im Frieden dein
847	n.v.	Im Heute und im Morgen
443	n.v.	Im Jubel ernten, die mit Tränen sähen
296	205,1	Im Kreuz ist Heil, IV (Kv)
623,6	176,1	Im Kreuz Jesu Christi finden wir Heil, I (Kv, Benedictus)
877	n.v.	In Christo nova creatura (Kanon)
n.v.	699	In deine Hände leg ich voll Vertrauen
47,1	n.v.	In den Tagen des Herrn, X/V (Kv)
480	n.v.	In den Tagen des Herrn, X/V (Kv)
91	703	In dieser Nacht
253	142	In dulci jubilo
n.v.	597,1	In Gott, meinem Heiland, jubelt mein Geist
n.v.	303	In Gottes Namen fahren wir
n.v.	611	In Jubel, Herr, wir dich erheben
658,1	n.v.	In manus tuas (4-stg., Taizé)
n.v.	597,2	In meinem Gott jubelt mein Herz
516	n.v.	In paradisum
867	n.v.	In tiefer Nacht trifft uns die Kunde (geändert)
n.v.	647,2	Inmitten deiner Kirche, Herr und Gott
331	829	Ist das der Leib, Herr Jesu Christ
123	n.v.	Ite missa est
591,5	379,2	Ite missa est
n.v.	422	Ite missa est (Vat X)
120	418	Ite missa est (Adventus et quadragesima)
112	409	Ite missa est (Missa de Angelis)
591,7	379,3	Ite missa est, Alleluia
n.v.	827	Jauchzet dem Herren
n.v.	286,2	Jauchzet Gott alle Lande
251	144	Jauchzet, ihr Himmel
284	n.v.	Jerusalem, bekehre dich zum Herrn, VI (Kv)
553	n.v.	Jerusalem, du hochgebaute Stadt
338	n.v.	Jerusalem, du neue Stadt
150	n.v.	Jerusalem, rühme den Herrn, V
78,1	n.v.	Jerusalem, rühme den Herrn, V (Kv)
841	n.v.	Jesu, geh' voran
751	n.v.	Jesu, zu dir rufen wir
362	n.v.	Jesus Christ, you are my life
768	174	Jesus Christus ist der Herr, I - Phil 2
768	694	Jesus Christus ist der Herr, I - Phil 2
n.v.	522	Jesus Christus, für uns als Mensch geboren
366	n.v.	Jesus Christus, guter Hirte
810	n.v.	Jesus Christus, Sohn des Lebens
n.v.	512	Jesus ist bei uns
336	831	Jesus lebt, mit ihm auch ich (verändert)
336	n.v.	Jesus lebt, mit ihm auch ich (verändert)
n.v.	652	Jesus starb den Tod, den alle Menschen sterben
367	n.v.	Jesus, dir leb' ich
492	n.v.	Jesus, du bist hier zugegen
492	864	Jesus, du bist hier zugegen (verändert)
808	n.v.	Jesus, Gottes Lamm
561	765,2	Jesus-Litanei (1-3-stg.)
753	819	Jetzt ist die große Gnadenzeit
914	890	Jetzt, Christen, stimmet an
918	883	Johannes auserkoren (geändert)
643,3	232,6	Jubelt dem Herrn, alle Lande, Halleluja, preist unsern Gott, VI (Kv)
827,2	233,2	Jubelt dem Herrn, alle Lande, VI/V (Kv)
49,1	n.v.	Jubelt Gott zu, VI (Kv)
55,1	156	Jubelt, ihr Lande, dem Herrn, VIII (Kv)
55,1	484,1	Jubelt, ihr Lande, dem Herrn, VIII (Kv)
398	n.v.	Jubilate Deo (Kanon, Praetorius)
876	n.v.	Kind, du bist uns anvertraut
850	n.v.	Kleines Senfkorn Hoffnung
148	519	Komm her, freu' dich mit uns
786	n.v.	Komm herab, o Heil'ger Geist (Osnabrück)
344	244	Komm herab, o Heil'ger Geist (Sequenz, Paris) (verändert)
227	108	Komm, du Heiland aller Welt
342	241	Komm, Heil'ger Geist, der Leben schafft (Hymnus)
784	n.v.	Komm, Heil'ger Geist, mit deiner Kraft
n.v.	247	Komm, Heiliger Geist, Herre Gott
801	568	Komm, Herr Jesu, komm
n.v.	565	Komm, Herr Jesus, komm zur Erde
634,6	n.v.	Komm, Herr Jesus, Maranatha
n.v.	118,3	Komm, Herr, komm und erlöse uns
451	n.v.	Komm, Herr, segne uns
n.v.	118,4	Komm, o Herr, und bring uns deinen Frieden
349	250	Komm, o Tröster, Heil'ger Geist
351	245	Komm, Schöpfer Geist
735	816	Kommet, ihr Hirten
885	860	Kommt her, ihr Kreaturen all
140	270	Kommt herbei
886	866	Kommt und lobet ohne End
733,3	120,2	Kommt, lasst uns danken, V (Kv)
811	275	König ist der Herr
n.v.	593	Königin im Himmelreich
754	n.v.	Korn, das in die Erde, in den Tod versinkt
39,1	723,1	Kostet und seht, V (Kv, geändert)
212	471	Kostet und seht, V (Kv, geändert)
212	723,1	Kostet und seht, V (Kv, geändert)
270	n.v.	Kreuz, auf das ich schaue
221	106	Kündet allen in der Not
827,1	529,6	Kündet den Völkern die Herrlichkeit des Herrn, II/IV (Kv)
827,1	740,1	Kündet den Völkern die Herrlichkeit des Herrn, II/IV (Kv)
n.v.	120,1	Kündet es den Verzagten
619,5	n.v.	Kyrie (4-stg., ostkirchlich)
155	n.v.	Kyrie (4-stg., Ukraine)
117	415	Kyrie (Adventus et quadragesima)
113	410	Kyrie (Lux et origo)
108	405	Kyrie (Missa de Angelis)
104	401	Kyrie (Missa mundi)
163	495	Kyrie (mit Versen)
121	n.v.	Kyrie (Orbis factor)
513	653	Kyrie (pro defunctis)
n.v.	419	Kyrie eleison (Missa alme pater)
154	n.v.	Kyrie, Kyrie (4-stg., Taizé)
156	n.v.	Kyrie, Kyrie (Taizé)
207	n.v.	Lamm Gottes (1-3-stg., Gelineau)
722	n.v.	Lamm Gottes (3-stg., Gouzes)
136	432	Lamm Gottes (Florian)
205	n.v.	Lamm Gottes (Kieffer)
139	435	Lamm Gottes (Leopold)
721	n.v.	Lamm Gottes (Linßen)
133	439	Lamm Gottes (Paulus)
206	n.v.	Lamm Gottes (Schindler)
n.v.	460	Lamm Gottes, du nimmst hinweg
n.v.	461	Lamm Gottes, du nimmst hinweg
n.v.	492	Lamm Gottes, du nimmst hinweg
n.v.	498	Lamm Gottes, du nimmst hinweg
n.v.	428	Lamm Gottes, du nimmst hinweg (Alban-Messe)
767	n.v.	Lamm Gottes, für uns gegeben
46,1	n.v.	Lass dein Angesicht über uns leuchten, II (Kv)
n.v.	535,2	Lass dir gefallen, Herr und Gott
446	n.v.	Lass uns in deinem Namen, Herr
181,1	358,3	Lasset zum Herrn uns beten: Herr, erbarme dich (4-stg.)
533	585	Lasst uns erfreuen herzlich sehr
820	840	Lasst uns Gott, dem Herrn, lobsingen
888	859	Lasst uns heilig, heilig singen
489	637	Lasst uns loben
394	n.v.	Laudate Dominum (Kv, 4-stg., Taize)
391	n.v.	Laudate Dominum de caelis, I (Kv, gregorianisch)
386	n.v.	Laudate omnes gentes (Kv, 4-stg., Taizé)
566	769	Lauretanische-Litanei
n.v.	170,1	Lehre uns, Herr, deinen Willen zu tun
617,1	n.v.	Licht aus der Höhe, V (Kv)
159	129	Licht, das uns erschien (1-2-stg., geändert)
n.v.	670	Lieber Gott, ich bin hier
149	520	Liebster Jesu, wir sind hier
569	770	Litanei für die Verstorbenen (verändert)
n.v.	767	Litanei vom heiligsten Sakrament
558	n.v.	Litanei vom Heilswirken Gottes
563	766	Litanei vom Leiden Jesu (verändert)
562	n.v.	Litanei von der Anbetung Jesu Christi (4-stg.)
557	764	Litanei von der Gegenwart Gottes
584,9	562	Lob dir, Christus, König und Erlöser, II (Kv)
176,5	562	Lob dir, Christus, König und Erlöser, VI (geändert)
826	493	Lob sei dem Herrn
762	173,1	Lob sei dir, Herr, IV/II (Kv)
769	n.v.	Lob und Ehre sei dir
392	258	Lobe den Herren
58,1	742,2	Lobe den Herrn, meine Seele, VIII (Kv, geändert)
58,1	759,1	Lobe den Herrn, meine Seele, VIII (Kv, geändert)
n.v.	545	Lobe, Zion, deinen Hirten
81	671	Lobet den Herren
401	496	Lobet den Herrn, VI (Kv)
408	282	Lobet und preiset ihr Völker den Herrn (Kanon)
n.v.	700,2	Lobgesang des Simeon – Sei unser Heil/Herr
258	158	Lobpreiset all zu dieser Zeit
n.v.	231	Lobsinget dem Herrn
n.v.	287,1	Lobsinget Gott, dem Herrn
396	842	Lobt froh den Herrn
247	134	Lobt Gott, ihr Christen
n.v.	414	lte missa est (Vat I)
264,1	n.v.	Lumen ad revelationem gentium, VIII (Kv, gregorianisch)
312,1	207	Lumen Christi / Christus, das Licht (Akklamation)
514	n.v.	Lux aeterna, VIII
219	n.v.	Mache dich auf und werde Licht (Kanon)
n.v.	119,5	Machet euch auf, steigt empor
218	107	Macht hoch die Tür
360	852	Macht weit die Pforten in der Welt
390	n.v.	Magnificat (Doppelkanon, Taizé)
634,4	127	Magnificat, II (III): Meine Seele preist die Größe des Herrn (geändert)
631,4	689	Magnificat, IX: Meine Seele preist die Größe des Herrn (Kv)
644,4	127	Magnificat, VII (III): Meine Seele preist die Größe des Herrn (geändert)
631,8	690	Magnificat, VIII (VI) (geändert)
472	n.v.	Manchmal feiern wir mitten im Tag ein Fest der Auferstehung
n.v.	299	Manchmal kennen wir Gottes Willen
522	587	Maria aufgenommen ist (geändert)
224	n.v.	Maria durch ein Dornwald ging
893	873	Maria ging geschwind
n.v.	590	Maria sei gegrüßt...den du empfangen hast
n.v.	592	Maria sei gegrüßt...der aus dem Grab erstand
n.v.	591	Maria sei gegrüßt...der für uns Blut geschwitzt
534	595	Maria, breit' den Mantel aus
521	594	Maria, dich lieben
895	579	Maria, Himmelskönigin
896	n.v.	Maria, Maienkönigin
530	577	Maria, Mutter unsres Herrn
903	n.v.	Maria, Mutter, Friedenshort
567	n.v.	Marienlob-Litanei (3-stg.)
524	878	Meerstern, ich dich grüße
524	578	Meerstern, ich dich grüße / Meerstern, sei gegrüßet (geändert)
n.v.	578	Meerstern, sei gegrüßet
710	n.v.	Mein Beten steige vor dir auf, VI (Kv)
143	264	Mein ganzes Herz erhebet sich
650,2	n.v.	Mein Geist jubelt über meinen Gott, II (Kv)
293	176,2	Mein Gott, mein Gott, warum hast du mich verlassen, IV (Kv)
293	715,1	Mein Gott, mein Gott, warum hast du mich verlassen, IV (Kv)
649,5	730,1	Mein Herz ist bereit, VII (Kv, geändert)
625,3	n.v.	Mein Herz ist voll Freude über den Herrn, (1 Sam 2)
625,2	n.v.	Mein Herz ist voll Freude über den Herrn, VIII (Kv)
421	849	Mein Hirt ist Gott, der Herr
n.v.	627,1	Mein Leben lobsinge Gott dem Herrn
361	559	Mein schönste Zier und Kleinod
n.v.	892	Mein Seel' verlangt nach dir
843	n.v.	Meine Augen finden deine Himmel nicht
623,3	n.v.	Meine Augen fließen über, II (Jeremia 14)
n.v.	528,4	Meine Augen schauen allezeit zum Herrn
437	n.v.	Meine engen Grenzen
307,5	n.v.	Meine Hilfe und mein Retter bist du, I (Kv)
365	n.v.	Meine Hoffnung und meine Freude (Kv, 4-stg., Taizé)
420	676,1	Meine Seele dürstet nach dir, II (Kv)
420	754,1	Meine Seele dürstet nach dir, II (Kv)
859	n.v.	Meine Seele lobt dich (Kv)
634,4	127	Meine Seele preist die Größe des Herrn, II (III) - Magnificat (geändert)
631,4	689	Meine Seele preist die Größe des Herrn, IX - Magnificat
644,4	127	Meine Seele preist die Größe des Herrn, VIII (III) - Magnificat (geändert)
57,1	527,3	Meine Seele, preise den Herrn, II (Kv)
650,3	527,3	Meine Seele, preise den Herrn, II (Kv)
650,3	743,1	Meine Seele, preise den Herrn, II (Kv)
809	820	Meinen Jesus lass ich nicht
245	n.v.	Menschen, die ihr wart verloren
745	n.v.	Messias, Jesus, einz'ger Sohn
461	616	Mir nach, spricht Christus, unser Held
657,6	n.v.	Misericordias Domini (Kv, 4-stg., Taizé)
905	n.v.	Mit dir, Maria, singen wir
731	113	Mit Ernst, o Menschenkinder
162	311	Mit lauter Stimme ruf' ich zum Herrn
n.v.	535,3	Mit seinen Flügeln schirmt dich Gott
503	654	Mitten wir im Leben
849	n.v.	Mögen sich die Wege
853	n.v.	Mon ame se repose (Kv, Taizé, mehrsprachig)
84	668	Morgenglanz der Ewigkeit
372	555	Morgenstern der finstern Nacht
568	879	Mutter Gottes, wir rufen zu dir
n.v.	377,2	Mysterium fidei
42,1	209,3	Nach Gott, dem Lebendigen (Kv), VIa / Meine Seele dürstet (Kv, geändert)
42,1	676,1	Nach Gott, dem Lebendigen (Kv), VIa / Meine Seele dürstet (Kv, geändert)
42,1	726,1	Nach Gott, dem Lebendigen (Kv), VIa / Meine Seele dürstet (Kv, geändert)
42,1	754,1	Nach Gott, dem Lebendigen (Kv), VIa / Meine Seele dürstet (Kv, geändert)
839	n.v.	Nada de turbe (Kv, 4-stg., Taizé)
864	n.v.	Nah ist der Herr (Kv, Taizé)
n.v.	617	Nahe wollt der Herr uns sein
502	n.v.	Näher, mein Gott, zu dir
n.v.	763	Namen-Gottes-Litanei
631,6	n.v.	Natus est nobis hodie, VIII (Kv)
711	800	Nimm an, o Herr, die Gaben
n.v.	799	Nimm, Heil'ger Vater, ew'ger Gott
188	n.v.	Nimm, o Gott, die Gaben, die wir bringen
712	n.v.	Nimm, o Vater, was wir spenden
434	n.v.	Noch ehe die Sonne am Himmel stand
348	248	Nun bitten wir den Heiligen Geist
403	267	Nun danket all und bringet Ehr'
405	266	Nun danket alle Gott
773	222	Nun freue dich, du Christenheit
776	226	Nun freut euch hier und überall
